INFO  - 2015-02-09 03:40:00.076; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2015-02-09 03:40:00.081; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2015-02-09 03:40:00.087; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2015-02-09 03:40:00.089; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2/solr/collection1/conf/elevate.xml
INFO  - 2015-02-09 03:40:00.119; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2015-02-09 03:40:00.120; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@5576e87d[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-02-09 03:40:00.163; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=42 
INFO  - 2015-02-09 03:40:00.164; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2015-02-09 03:40:00.164; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2015-02-09 03:40:00.164; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2015-02-09 03:40:00.169; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@5576e87d[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-02-09 03:40:00.174; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2015-02-09 03:40:00.177; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2
INFO  - 2015-02-09 03:40:00.178; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2015-02-09 03:40:00.210; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8985
INFO  - 2015-02-09 03:40:04.431; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1423453204427&wt=json} status=0 QTime=2 
